,ANFIS_result
0,5.022501193503609
1,4.790560637769698
2,4.7822585375395565
3,4.748819529160562
4,4.746979282703748
5,4.495151348940231
6,4.4853222612456545
7,4.463682884227547
8,4.452111627139999
9,4.447904589119436
10,4.43772847165178
11,4.4367277454494145
12,4.434085958119737
13,4.412855130846428
14,4.412851110603137
15,4.412444310963722
16,4.409598025394868
17,4.409425912013115
18,4.402800166617192
19,4.402627890304841
20,4.366359268603384
21,4.359199430685289
22,4.358622375394744
23,4.335270719088991
24,4.334927773232741
25,4.33462973464014
26,4.334392614853249
27,4.317156737301857
28,4.308650759017479
29,4.2932769637711425
30,4.287605261140526
31,4.286200890405408
32,4.280556456919611
33,4.274139835498493
34,4.273898624008206
35,4.239274634885963
36,4.237778969163266
37,4.219021969162097
38,4.212950081101745
39,4.2128013423360215
40,4.212785154776825
41,4.207785023576729
42,4.202808763810007
43,4.202738552057496
44,4.20272144839001
45,4.202646010441394
46,4.201616788069302
47,4.200238320391847
48,4.194613751613539
49,4.184290040400214
50,4.182421821699583
51,4.180663738100056
52,4.175076063146698
53,4.171005387861281
54,4.170883868719838
55,4.170372856843116
56,4.156107950423932
57,4.143617255014841
58,4.125605744705417
59,4.1079791567020765
60,4.107437108334191
61,4.106337723983401
62,4.105799746763941
63,4.060505638186094
64,4.059189757550475
65,4.057076860102672
66,4.045551766748219
67,4.044934603796419
68,4.017115905446428
69,4.0060178933719595
70,3.997727108902538
71,3.993044015721437
72,3.9858113200940823
73,3.9842803921053616
74,3.978494063472369
75,3.9782839820203977
76,3.9765891706559904
77,3.9562739318607383
78,3.95202159988178
79,3.951166084621068
80,3.9424683935322946
81,3.9424276247173333
82,3.921745139580504
83,3.8882144999582415
84,3.8854382897105504
85,3.8779224614566687
86,3.8759150016006365
87,3.8722887180497554
88,3.8714075003354513
89,3.8675453238577244
90,3.863644467158442
91,3.8622801077078455
92,3.861841469793776
93,3.860878400117166
94,3.8604939003629504
95,3.8541351253528364
96,3.8449933166665056
97,3.8425889602947922
98,3.8383623432323937
99,3.830879203989382
100,3.830787531525618
101,3.8301279394605765
102,3.8279844136295678
103,3.827420589157172
104,3.827311179905252
105,3.825432725781334
106,3.820978116393639
107,3.816974907585054
108,3.816615557776135
109,3.811738400965147
110,3.8009968127181075
111,3.7985099505455318
112,3.7875043404949564
113,3.7772548753701187
114,3.7618104323744253
115,3.731110063854382
116,3.7295084847601863
117,3.72863705662939
