,feature_name,RMSE
0,feature_39,5.022501193503609
1,feature_18,5.105678600160606
2,feature_37,5.150400680259068
3,feature_41,5.223523576788798
4,feature_43,5.231894495270954
5,feature_62,5.274802104653525
6,feature_13,5.326969098082501
7,feature_42,5.359521915207792
8,feature_48,5.366922055178966
9,feature_44,5.389098745092883
10,feature_38,5.390042670689771
11,feature_50,5.4101760899362645
12,feature_46,5.414971406517693
13,feature_17,5.429389569795175
14,feature_11,5.5193089249527985
15,feature_61,5.533068693354663
16,feature_40,5.549414770506194
17,feature_7,5.559728390824236
18,feature_52,5.565650885072162
19,feature_31,5.57089311003277
20,feature_16,5.598498234884833
21,feature_33,5.599692713271013
22,feature_9,5.626452043602508
23,feature_6,5.630343249094269
24,feature_35,5.632774413457776
25,feature_14,5.651824582148888
26,feature_10,5.677156883968158
27,feature_47,5.694751587556028
28,feature_8,5.706955341049425
29,feature_70,5.735404230118235
30,feature_19,5.754462077099763
31,feature_12,5.755804777721618
32,feature_75,5.772214476289329
33,feature_60,5.7951916979011315
34,feature_74,5.798542145407122
35,feature_89,5.804543377569708
36,feature_110,5.807468628670271
37,feature_24,5.812144952240197
38,feature_109,5.812698585238186
39,feature_5,5.8177338380752355
40,feature_81,5.821114570766827
41,feature_69,5.821569233919401
42,feature_76,5.854236362260193
43,feature_117,5.855065803099001
44,feature_26,5.8625552376621375
45,feature_77,5.86350483128653
46,feature_108,5.86814854226965
47,feature_118,5.870158340670905
48,feature_73,5.872032280476093
49,feature_84,5.88182835961059
50,feature_99,5.884631084828212
51,feature_98,5.895540577273148
52,feature_25,5.907402376108895
53,feature_78,5.909140614726021
54,feature_23,5.911956168365341
55,feature_21,5.925038958206016
56,feature_116,5.925989821114027
57,feature_100,5.9305321129769135
58,feature_101,5.933145264909098
59,feature_68,5.934960595202239
60,feature_22,5.937717523335422
61,feature_67,5.93866995466449
62,feature_92,5.938909491053816
63,feature_51,5.946684135968137
64,feature_107,5.953669234429279
65,feature_102,5.964045437616249
66,feature_97,5.985195993025206
67,feature_85,5.997297944125265
68,feature_66,6.022254749004878
69,feature_115,6.024363311004387
70,feature_93,6.026179231350986
71,feature_106,6.038398676418053
72,feature_65,6.044286875401397
73,feature_88,6.05378171054094
74,feature_53,6.05393827477364
75,feature_30,6.06431201282561
76,feature_105,6.069807601706243
77,feature_59,6.078495911657805
78,feature_15,6.083026821051573
79,feature_20,6.091352285847818
80,feature_114,6.108949299655149
81,feature_113,6.126408884402536
82,feature_72,6.1315067480645675
83,feature_86,6.142400820552271
84,feature_82,6.14677538617708
85,feature_94,6.151818148060917
86,feature_80,6.170108703615189
87,feature_83,6.175210877628469
88,feature_112,6.189793001671591
89,feature_63,6.191388393434509
90,feature_96,6.20324970271538
91,feature_64,6.2048482992521246
92,feature_104,6.206858725534071
93,feature_90,6.211234498542185
94,feature_49,6.21348584791898
95,feature_58,6.225754407567181
96,feature_91,6.2285157929807164
97,feature_87,6.274261788215692
98,feature_57,6.29149965323507
99,feature_111,6.305977367991962
100,feature_71,6.32909252746666
101,feature_2,6.330028261441196
102,feature_103,6.330798416081103
103,feature_95,6.3478963801418775
104,feature_79,6.3607249766108
105,feature_34,6.369179942317905
106,feature_1,6.373047297578806
107,feature_56,6.375307509831786
108,feature_45,6.389436864714139
109,feature_54,6.390966674557273
110,feature_55,6.3943935136950145
111,feature_32,6.404639336480682
112,feature_29,6.410779749936252
113,feature_36,6.428057868421837
114,feature_27,6.428254726318166
115,feature_3,6.434228267224682
116,feature_28,6.439062921451045
117,feature_4,6.444216261535198
